Номер участка	Протяженность участка, м	Внешний диаметр по ГОСТ, мм	Толщина стенки, мм	Внутренний диаметр, мм	Шероховатость, мм	Начальный учел	Конечный узел	Температура окружающей среды, °С
500	3202	219	14	191	0,1	K239	N39	-1,5
501	11606	325	20	285	0,1	N39	J_ALL	-1,5
502	7432	219	14	191	0,1	K241	N41	-1,5
503	5037	325	20	285	0,1	N41	J_ALL	-1,5
504	6792	219	14	191	0,1	K237	N0837	-1,5
505	4723	219	14	191	0,1	K208	N0837	-1,5
506	16284	325	20	285	0,1	N0837	J_ALL	-1,5
507	11301	273	18	237	0,1	K227	J_ALL	-1,5
508	4829	219	14	191	0,1	K234	N343646	-1,5
509	8357	325	20	285	0,1	N343646	J_ALL	-1,5
510	1702	219	14	191	0,1	K233	N0233	-1,5
511	2660	219	14	191	0,1	K202	N0233	-1,5
512	10037	273	18	237	0,1	N0233	J_ALL	-1,5
513	8091	219	14	191	0,1	K238	N0138	-1,5
514	7121	219	14	191	0,1	K201	N0138	-1,5
515	14647	325	23	279	0,1	N0138	J_ALL	-1,5
516	1735	219	14	191	0,1	K247	N3247	-1,5
517	330	273	18	237	0,1	K232	N3247	-1,5
518	15000	325	20	285	0,1	N3247	J_ALL	-1,5
519	2129	219	14	191	0,1	K231	N3135	-1,5
520	5244	219	14	191	0,1	K235	N3135	-1,5
521	8197	325	20	285	0,1	N3135	J_ALL	-1,5
522	3922	219	14	191	0,1	K214	N1416	-1,5
523	340	219	14	191	0,1	K216	N1416	-1,5
524	14520	325	20	285	0,1	N1416	J_ALL	-1,5
525	4158	219	14	191	0,1	K228	N0928	-1,5
526	4516	219	14	191	0,1	K209	N0928	-1,5
527	182	159	10	139	0,1	K226	N092628	-1,5
528	1519	325	20	285	0,1	N0928	N092628	-1,5
529	1342	325	20	285	0,1	N092628	J_ALL	-1,5
530	9486	273	18	237	0,1	K230	N2930	-1,5
531	566	219	14	191	0,1	K229	N2930	-1,5
532	4772	325	20	285	0,1	N2930	J_ALL	-1,5
533	275	219	14	191	0,1	K207	N0307	-1,5
534	2096	219	14	191	0,1	K203	N0307	-1,5
535	17543	325	20	285	0,1	N0307	J_ALL	-1,5
536	4082	159	10	139	0,1	K215	N1520	-1,5
537	1310	159	10	139	0,1	K220	N1520	-1,5
538	7234	219	14	191	0,1	N1520	J_ALL	-1,5
539	3768	219	14	191	0,1	K204	N0422242	-1,5
540	50	159	10	139	0,1	K224	N0422242	-1,5
541	10370	294	21	252	0,1	N0422242	N0422241	-1,5
542	2164	219	14	191	0,1	K222	N0422241	-1,5
543	14483	325	20	285	0,1	N0422241	J_ALL	-1,5
544	5482	219	14	191	0,1	K219	N1923	-1,5
545	200	219	14	191	0,1	K223	N1923	-1,5
546	4852	325	20	285	0,1	N1923	J_ALL	-1,5
547	456	219	20	179	0,1	K205	N5	-1,5
548	2687	219	20	179	0,1	N5	N5101	-1,5
549	277	219	16	187	0,1	K210	N5101	-1,5
550	2090	219	16	187	0,1	N5101	N5102	-1,5
551	4913	219	14	191	0,1	N5102	J_ALL	-1,5
552	3135	219	14	191	0,1	K733	N733	-1,5
553	2332	219	14	191	0,1	K720	N733	-1,5
554	16	219	14	191	0,1	N733	N5102	-1,5
555	1818	114	10	94	0,1	K336	J_ALL	-1,5
556	4456,21	110	10	90	0,1	K800	N21	-1,5
557	4918	219	14	191	0,1	K243	N41	-1,5
558	5384	159	10	139	0,1	K244	N44	-1,5
559	8382	273	18	237	0,1	N44	J_ALL	-1,5
560	3758	219	14	191	0,1	K245	N44	-1,5
561	8100	273	18	237	0,1	K246	N343646	-1,5
562	1167	273	18	237	0,1	K213	N0613	-1,5
563	6170	219	16	187	0,1	K206	N0613	-1,5
564	3105	273	18	237	0,1	N0613	N6121317	-1,5
565	1326	219	14	191	0,1	K212	N6121317	-1,5
566	323	179	10	159	0,1	K217	N6121317	-1,5
567	3903	273	18	237	0,1	N6121317	J_ALL	-1,5
568	269	219	20	179	0,1	K221	N21	-1,5
569	3294	219	20	179	0,1	N21	J_ALL	-1,5
570	1340	219	16	187	0,1	K225	N25	-1,5
571	327	219	20	179	0,1	N25	J_ALL	-1,5
572	1	325	20	285	0,1	J_ALL	UKPG-3	-1,5
