дата	давление	температура
д.м.г	кг/см2	оС
1	2	3
19.03.2006	89,40	21,30
20.03.2006	87,90	21,80
21.03.2006	88,60	21,50
22.03.2006	85,40	20,70
23.03.2006	86,20	20,90
24.03.2006	86,70	21,10
25.03.2006	86,80	20,80
26.03.2006	86,70	20,70
27.03.2006	89,30	21,10
28.03.2006	89,70	21,80
29.03.2006	89,00	21,70
30.03.2006	88,90	21,60
31.03.2006	89,00	22,00
01.04.2006	88,76	21,95
02.04.2006	87,95	21,36
03.04.2006	87,88	21,72
04.04.2006	87,58	21,28
05.04.2006	88,52	21,50
06.04.2006	89,09	21,99
07.04.2006	89,38	22,06
08.04.2006	89,20	21,66
09.04.2006	89,25	36,88
10.04.2006	89,08	22,26
11.04.2006	89,08	22,18
12.04.2006	87,76	22,01
13.04.2006	84,85	21,15
14.04.2006	84,31	20,66
15.04.2006	88,84	21,24
16.04.2006	88,95	21,85
17.04.2006	88,99	21,93
18.04.2006	88,92	21,64
19.04.2006	87,13	21,17
20.04.2006	88,87	22,08
21.04.2006	89,00	22,10
22.04.2006	88,89	22,02
23.04.2006	88,50	20,57
24.04.2006	88,91	22,08
25.04.2006	88,70	21,79
26.04.2006	87,85	21,34
27.04.2006	88,29	21,31
28.04.2006	88,26	21,54
29.04.2006	88,35	21,65
30.04.2006	88,45	22,09
01.05.2006	88,46	21,87
02.05.2006	88,09	21,94
03.05.2006	88,36	21,64
04.05.2006	86,12	20,89
05.05.2006	86,46	21,25
06.05.2006	86,33	21,20
07.05.2006	89,16	22,18
08.05.2006	89,70	22,37
09.05.2006	89,60	22,54
10.05.2006	88,28	21,94
11.05.2006	88,94	22,23
12.05.2006	88,93	22,24
13.05.2006	88,76	22,14
14.05.2006	88,98	22,15
15.05.2006	89,15	21,80
16.05.2006	89,22	21,66
17.05.2006	89,25	21,15
18.05.2006	88,99	20,81
19.05.2006	88,80	20,87
20.05.2006	88,88	20,97
21.05.2006	89,17	21,10
22.05.2006	89,21	21,19
23.05.2006	88,92	20,92
24.05.2006	89,05	21,22
25.05.2006	57,60	17,60
26.05.2006		
27.05.2006		
28.05.2006		
29.05.2006		
30.05.2006	59,16923077	8,130769231
31.05.2006	81,48461538	15,21538462
01.06.2006	86,47692308	17,58461538
02.06.2006	86,12307692	17,38461538
03.06.2006	82,96153846	17,97692308
04.06.2006	83,60769231	18,4
05.06.2006	84,13076923	19,73076923
06.06.2006	81,93846154	20,37692308
07.06.2006	83,80230769	19,16153846
08.06.2006	84,00769231	19,47692308
09.06.2006	81,31538462	19,47692308
10.06.2006	80,96923077	19,52307692
11.06.2006	81,44615385	20,22307692
12.06.2006	80,35384615	19,36153846
13.06.2006	80,39230769	19,51538462
14.06.2006	80,47692308	19,43076923
15.06.2006	80,85384615	19,63076923
16.06.2006	82,17692308	19,82307692
17.06.2006	83,08461538	20,26153846
18.06.2006	82,36923077	20,43846154
19.06.2006	82,23846154	20,47692308
20.06.2006	81,71538462	20,25384615
21.06.2006	82,23076923	20,79230769
22.06.2006	82,94615385	21,45384615
23.06.2006	79,38461538	21,10769231
24.06.2006	87,72307692	21,71769231
25.06.2006	88,36923077	23,21538462
26.06.2006	88,75384615	23,5
27.06.2006	88,87692308	23,63846154
28.06.2006	88,93846154	23,81538462
29.06.2006	88,4	23,64615385
30.06.2006	79,99230769	23,73846154
01.07.2006	87,35384615	23,01538462
02.07.2006	87,41538462	23,49230769
03.07.2006	83,20769231	22,9
04.07.2006	83,35384615	22,80769231
05.07.2006	83,34615385	22,43076923
06.07.2006	87,03846154	22,87692308
07.07.2006	86,30769231	22,70769231
08.07.2006	86,21538462	23,10769231
09.07.2006	86,66923077	23,5
10.07.2006	86,60769231	23,37692308
11.07.2006	86,84615385	23,59230769
12.07.2006	86,98461538	23,83076923
13.07.2006	86,87692308	24,00769231
14.07.2006	86,48461538	23,80769231
15.07.2006	88,48461538	24,8
16.07.2006	87,22307692	24,39230769
17.07.2006	86,10769231	24,13076923
18.07.2006	85,90769231	24,42307692
19.07.2006	87,86153846	24,33076923
20.07.2006	91,70769231	25,23076923
21.07.2006	91,24615385	25,55384615
22.07.2006	90,92307692	25,54923077
23.07.2006	95,01538462	27,17692308
24.07.2006	95,46923077	28,21538462
25.07.2006	93,69230769	27,33846154
26.07.2006	93,88461538	27,12307692
27.07.2006	94,3	28,02307692
28.07.2006	93,94846154	27,65384615
29.07.2006	91,55384615	26,88461538
30.07.2006	91,96923077	27,23076923
31.07.2006	91,83076923	27,22307692
01.08.2006	94,06153846	27,28461538
02.08.2006	96,26153846	27,92307692
03.08.2006	93,18461538	26,03076923
04.08.2006	98,20769231	27,19230769
05.08.2006	98,44615385	27,36923077
06.08.2006	97,8	27,33846154
07.08.2006	96,27692308	26,89230769
08.08.2006	95,46153846	26,06923077
09.08.2006	95,97692308	26,88461538
10.08.2006	97,48461538	27,33076923
11.08.2006	98,08461538	27,56923077
12.08.2006	98,25384615	27,39230769
13.08.2006	97,52307692	26,83846154
14.08.2006	96,85384615	26,69230769
15.08.2006	96,94615385	26,95384615
16.08.2006	97,5	26,72307692
17.08.2006	97,40769231	26,72307692
18.08.2006	97,65384615	26,84615385
19.08.2006	95,73846154	26,73846154
20.08.2006		
21.08.2006		
22.08.2006		
23.08.2006		
24.08.2006		
25.08.2006		
26.08.2006		
27.08.2006		
28.08.2006		
29.08.2006		
30.08.2006		
31.08.2006		
01.09.2006		
02.09.2006		
03.09.2006		
04.09.2006		
05.09.2006		
06.09.2006		
07.09.2006		
08.09.2006		
09.09.2006		
10.09.2006		
11.09.2006	78,22307692	16,07692308
12.09.2006	78,01538462	18,50769231
13.09.2006	81,82307692	17,66153846
14.09.2006	83,8	18,60769231
15.09.2006	85,52307692	19,06923077
16.09.2006	86,47692308	19,76923077
17.09.2006	86,16153846	18,98461538
18.09.2006	84,42307692	19
19.09.2006	84,12307692	18,17692308
20.09.2006	85,66153846	19,43076923
21.09.2006	86,48461538	19,80769231
22.09.2006	65,08461538	13,89230769
23.09.2006	85,11538462	19,40769231
24.09.2006	87,47692308	20,32307692
25.09.2006	86,92307692	20,11538462
26.09.2006	90,69230769	19,93846154
27.09.2006	92,23076923	20,09230769
28.09.2006	92,03076923	20,5
29.09.2006	92,03846154	34,20769231
30.09.2006	92,23076923	20,60769231
01.10.2006	92,65384615	20,45384615
02.10.2006	89,91538462	19,7
03.10.2006	89,77692308	19,43846154
04.10.2006	93,08461538	20,65384615
05.10.2006	86,63076923	19,28692308
06.10.2006	87,13846154	18,3
07.10.2006	91,89230769	19,67692308
08.10.2006	90,8	20,5
09.10.2006	88,87692308	19,72307692
10.10.2006	88,86923077	17,7
11.10.2006	90,62307692	19,50769231
12.10.2006	91,09230769	20,29230769
13.10.2006	91,96923077	20,27692308
14.10.2006	91,50769231	19,98461538
15.10.2006	91,35384615	20,23846154
16.10.2006	90,98461538	20,15384615
17.10.2006	90,92307692	20,2
18.10.2006	91,2	20,74615385
19.10.2006	91,2	20,9
20.10.2006	90,74615385	20,45384615
21.10.2006	90,34615385	20,06923077
22.10.2006	90,07692308	20,03846154
23.10.2006	90,31538462	34,33846154
24.10.2006	90,33846154	20,50769231
25.10.2006	90,92307692	20,73076923
26.10.2006	91,43076923	20,60769231
27.10.2006	91,86153846	20,29230769
28.10.2006	92,1	20,52307692
29.10.2006	92,20769231	20,57692308
30.10.2006	92,73076923	35,91538462
31.10.2006	91,83846154	20,56153846
01.11.2006	91,8	19,9
02.11.2006	91,7	20,5
03.11.2006	88,9	19,7
04.11.2006	90,7	20,8
05.11.2006	91,5	20,1
06.11.2006	90,5	19,8
07.11.2006	89,7	20
08.11.2006	87	19,3
09.11.2006	82,1	17,1
10.11.2006	79,7	18,9
11.11.2006	92,2	20,3
12.11.2006	91,7	19,7
13.11.2006	88,6	20
14.11.2006	91,2	19,5
15.11.2006	91,5	20
16.11.2006	91,9	20,9
17.11.2006	92	21,1
18.11.2006	92,1	21,3
19.11.2006	92	21,2
20.11.2006	91,9	21,3
21.11.2006	90,2	20,9
22.11.2006	91,3	21,4
23.11.2006	92	22,1
24.11.2006	92,2	22,2
25.11.2006	92,1	22
26.11.2006	92,1	22
27.11.2006	91,7	22
28.11.2006	92,9	21,3
29.11.2006	91,4	21,6
30.11.2006	91,4	21,9
01.12.2006	90,4	21,9
